Primo,Marta,Sage
46381,0.000838,0.00311303138733
768479,0.00451,0.00634908676147
9476407,0.0201,0.00587320327759
36780481,0.0438,0.00817394256592
562390847,0.209,0.0338890552521
1894083629,0.392,0.118733167648
65398261921,3.219,0.707512140274
364879542899,8.252.0,1.8900809288
