Primo,Marta
46381,0.00004734
768479,0.00003801
9476407,0.00005254
36780481,0.00006214
562390847,0.00005897
1894083629,0.00006299
65398261921,0.00005027
364879542899,0.00006893
8590356927553,0.00008376
28564333765949,0.00007316
123456789101119,0.00007982
